Release.date,Release.time,Release.site,Serial.nr,Signal,Group,Total.Length.cm,Latitude,Longitude
9/3/22,10:06,Mutiaur,1364454,51651,Lethrinus olivaceus,43,7.27538,134.18507
9/7/22,17:26,Mutiaur,1364453,51650,Lethrinus olivaceus,56,7.27549,134.18787
11/02/22,18:30,Mutiaur,1364452,51649,Lethrinus olivaceus,62,7.27568,134.78617
4/17/23,19:35,Mutiaur,1556489,7270,Lethrinus olivaceus,54,7.27431,134.187968
4/17/23,20:10,Mutiaur,1556488,7269,Lethrinus olivaceus,52.5,7.27431,134.187968
4/18/23,18:36,Mutiaur,1556487,7268,Lethrinus olivaceus,54.5,7.274327,134.187017
4/18/23,18:55,Mutiaur,1556486,7267,Lethrinus olivaceus,56,7.274327,134.187017
4/18/23,20:05,Mutiaur,1556485,7266,Lethrinus olivaceus,51.5,7.274185,134.187676
4/20/23,18:45,Mutiaur,1556505,7286,Lethrinus olivaceus,55,7.275002,134.186686
4/20/23,19:40,Mutiaur,1556492,7273,Lethrinus olivaceus,60,7.274914,134.187073
4/20/23,19:45,Mutiaur,1556494,7275,Lethrinus olivaceus,55,7.274914,134.187073
4/21/23,18:16,Mutiaur,1556493,7274,Lethrinus olivaceus,55.5,7.275046,134.186994
4/22/23,20:39,Mutiaur,1556491,7272,Lethrinus olivaceus,55,7.274943,134.187139
4/23/23,20:48,Mutiaur,1556490,7271,Lethrinus olivaceus,58,7.275334,134.187743
9/4/22,11:08,Mutiaur,1364447,51644,Lutjanus bohar,48,7.27574,134.18658
9/6/22,12:15,Mutiaur,1393357,60855,Lutjanus bohar,69,7.27538,134.18623
9/7/22,18:02,Mutiaur,1393358,60856,Lutjanus bohar,53,7.27604,134.18633
9/7/22,18:15,Mutiaur,1393361,60859,Lutjanus bohar,66,7.27598,134.1864
9/7/22,19:03,Mutiaur,1393366,60864,Lutjanus bohar,41,7.7.27591,134.18674
9/7/22,19:09,Mutiaur,1393362,60860,Lutjanus bohar,48,7.27599,134.18675
9/7/22,19:12,Mutiaur,1393363,60861,Lutjanus bohar,44.5,7.27599,134.18675
9/7/22,19:40,Mutiaur,1393364,60862,Lutjanus bohar,49,7.27599,134.18675
9/7/22,19:48,Mutiaur,1393359,60857,Lutjanus bohar,47,7.27599,134.18675
9/7/22,19:51,Mutiaur,1393360,60858,Lutjanus bohar,46,7.27599,134.18675
9/9/22,14:05,Siaes corner,1379016,46647,Lutjanus bohar,53,7.31489,134.22025
9/9/22,19:15,Ulong channel,1379023,46654,Lutjanus bohar,54,7.27557,134.24438
11/02/22,17:53,Mutiaur,1393365,60863,Lutjanus bohar,56,7.27575,134.18617
11/02/22,17:59,Mutiaur,1379018,46649,Lutjanus bohar,48,7.27579,134.18622
11/02/22,18:05,Mutiaur,1379019,46650,Lutjanus bohar,52,7.27579,134.18623
11/03/22,17:05,Mutiaur,1379015,46646,Lutjanus bohar,57,7.276,134.18607
11/03/22,17:10,Mutiaur,1379021,46652,Lutjanus bohar,50,7.276,134.18607
11/03/22,17:50,Mutiaur,1379022,46653,Lutjanus bohar,57.5,7.27607,134.18607
11/03/22,17:59,Mutiaur,1379017,46648,Lutjanus bohar,46,7.27607,134.18607
11/03/22,18:13,Mutiaur,1379024,46655,Lutjanus bohar,67,7.27607,134.18607
11/03/22,18:27,Mutiaur,1379020,46651,Lutjanus bohar,54,7.27607,134.18607
11/03/22,18:40,Mutiaur,1364450,51647,Lutjanus bohar,56,7.27607,134.18607
11/03/22,18:45,Mutiaur,1364448,51645,Lutjanus bohar,58,7.27607,134.18607
11/03/22,18:50,Mutiaur,1364445,51642,Lutjanus bohar,53,7.27607,134.18607
11/03/22,18:53,Mutiaur,1364451,51648,Lutjanus bohar,49,7.27607,134.18607
11/03/22,18:55,Mutiaur,1364446,51643,Lutjanus bohar,50,7.27607,134.18607
11/03/22,18:59,Mutiaur,1364449,51646,Lutjanus bohar,48,7.27607,134.18607
11/03/22,19:05,Mutiaur,1312395,14010,Lutjanus bohar,50,7.27607,134.18607
11/03/22,19:06,Mutiaur,1312396,14011,Lutjanus bohar,51,7.27607,134.18607
11/03/22,19:15,Mutiaur,1312432,14047,Lutjanus bohar,48,7.27607,134.18607
11/03/22,19:16,Mutiaur,1312411,14026,Lutjanus bohar,47.5,7.27607,134.18607
11/03/22,19:28,Mutiaur,1312405,14020,Lutjanus bohar,50,7.27607,134.18607
11/03/22,19:32,Mutiaur,1312436,5958,Lutjanus bohar,51,7.27607,134.18607
11/03/22,19:40,Mutiaur,1312406,14021,Lutjanus bohar,45,7.27607,134.18607
11/03/22,19:45,Mutiaur,1312442,5970,Lutjanus bohar,55,7.27607,134.18607
11/03/22,19:50,Mutiaur,1312437,5960,Lutjanus bohar,49,7.27607,134.18607
4/17/23,17:40,Mutiaur,1379017,46648,Lutjanus bohar,64,7.275824,134.186017
9/4/22,10:52,Mutiaur,1379011,49996, Carcharhinus amblyrhynchos,114,7.27574,134.18658
9/10/22,14:15,Mutiaur,1379006,49991, Carcharhinus amblyrhynchos,130,7.72546,134.18657
9/10/22,17:25,Ulong channel,1388935,63786, Carcharhinus amblyrhynchos,120,7.28293,134.24559
9/10/22,17:30,Ulong channel,1379008,49993, Carcharhinus amblyrhynchos,121,7.28293,134.24559
9/10/22,17:50,Ulong channel,1388931,63782, Carcharhinus amblyrhynchos,118,7.28293,134.24559
9/10/22,19:15,Ulong channel,1388937,63788, Carcharhinus amblyrhynchos,119,7.28293,134.24559
9/14/22,14:15,Mutiaur,1379009,49994, Carcharhinus amblyrhynchos,111,7.26922,134.1819
9/14/22,15:22,Mutiaur,1388933,63784, Carcharhinus amblyrhynchos,124,7.26857,134.18138
9/16/22,13:14,Mutiaur,1379013,49998, Carcharhinus amblyrhynchos,125,7.27484,134.18462
11/03/22,18:06,Mutiaur,1379014,49999, Carcharhinus amblyrhynchos,122,7.27607,134.18607
12/3/22,07:04,Mutiaur,1379007,49992, Carcharhinus amblyrhynchos,128,7.2753,134.18643
12/3/22,07:58,Mutiaur,1388930,63781, Carcharhinus amblyrhynchos,122,7.2753,134.18643
12/3/22,08:11,Mutiaur,1388938,63789, Carcharhinus amblyrhynchos,124,7.2753,134.18643
12/3/22,11:17,Mutiaur,1379010,49995, Carcharhinus amblyrhynchos,115,7.27639,134.19208
12/3/22,11:31,Mutiaur,1379012,49997, Carcharhinus amblyrhynchos,112,7.27693,134.19325
4/20/23,16:30,Mutiaur,1388929,63780,Negaprion acutidens,216,7.27632,134.186287
